Index,Title,IMDb,Metascore,RT Critics,RT Audience,Letterboxd,Budget,Domestic Gross,Worldwide Gross,Net Revenue
0,Iron Man,7.9,79,94,91,3.7,140,319,585.8,445.8
1,The Incredible Hulk,6.6,61,68,69,2.5,150,134.8,265.5,115.5
2,Iron Man 2,6.9,57,72,71,2.9,200,312.4,623.9,423.9
3,Thor,7,57,77,76,2.8,150,181,449.3,299.3
4,Captain America: The First Avenger,6.9,66,80,75,3.3,215,176.7,370.6,155.6
5,The Avengers,8,69,91,91,3.7,225,623.4,1521,1296
6,Iron Man 3,7.1,62,79,78,3,200,409,1215,1015
7,Thor: The Dark World,6.7,54,67,75,2.2,272,206.4,644.8,372.8
8,Captain America: The Winter Soldier,7.7,70,90,92,3.7,177,259.8,714.4,537.4
9,Guardians of the Galaxy,8,76,92,92,3.8,196,333.7,773.4,577.4
10,Avengers: Age of Ultron,7.3,66,76,82,3.1,365,459,1405,1040
11,Ant-Man,7.2,64,83,85,3.2,169,180.2,519.3,350.3
12,Captain America: Civil War,7.8,75,90,89,3.6,250,408.1,1155,905
13,Doctor Strange,7.5,72,89,86,3.4,236,232.6,677.8,441.8
14,Guardians of the Galaxy Vol. 2,7.6,67,85,87,3.5,200,389.8,869,669
15,Spider-Man: Homecoming,7.4,73,92,87,3.5,175,334.2,880.9,705.9
16,Thor: Ragnarok,7.9,74,93,87,3.7,180,316,865,685
17,Black Panther,7.3,88,96,79,3.7,200,700.4,1350,1150
18,Avengers: Infinity War,8.4,68,85,92,4,400,678.8,2052,1652
19,Ant-Man and the Wasp,7,70,87,79,2.9,195,216.6,622.7,427.7
20,Captain Marvel,6.8,64,79,45,2.7,175,426.8,1131,956
21,Avengers: Endgame,8.4,78,94,90,3.9,400,858.4,2799,2399
22,Spider-Man: Far From Home,7.4,69,91,95,3.4,160,391.3,1133,973
23,Black Widow,6.6,68,79,91,2.9,288,183.7,379.8,91.8
24,Shang-Chi and the Legend of the Ten Rings,7.4,71,92,98,3.4,200,224.5,432.2,232.2
25,Eternals,6.3,52,47,77,2.7,236,164.9,402.1,166.1
26,Spider-Man: No Way Home,8.2,71,93,98,3.8,200,814.9,1952,1752
27,Doctor Strange in the Multiverse of Madness,6.9,60,74,85,2.9,350,411.3,955.8,605.8
28,Thor: Love and Thunder,6.2,57,63,76,2.4,250,343.3,760.9,510.9
29,Black Panther: Wakanda Forever,6.7,67,84,94,3.3,250,453.8,859.2,609.2
30,Ant-Man and the Wasp: Quantumania,5.5,48,46,82,2.2,330,214.5,476.1,146.1
31,Guardians of the Galazy Vol. 3,6,64,82,94,4,250,358.9,845.6,595.6
32,The Marvels,7.9,50,62,81,2.6,219.8,84.5,206.1,-13.7
33,Deadpool & Wolverine,7.8,56,78,94,3.6,200,636.7,1338,1138
